,id,asin,description,title,price,imUrl,brand,category1,category2,cp,profit,link
58,837,B07D3NZR9S,This is very good designed V-neck T-shirt. Made from Combed Cotton.,Jockey Men's T-Shirt(AM50-01),415,https://images-na.ssl-images-amazon.com/images/I/81zWSgymIkL._UL1500_.jpg,Jockey,Clothing,Men,192,223,https://www.amazon.in/dp/B07D3NZR9S
59,11767,B01LB526Q8,Jockey Men's Cotton T-Shirt,Jockey Men's Cotton T-Shirt,849,https://images-na.ssl-images-amazon.com/images/I/811AbJZ%2BgEL._UL1500_.jpg,Jockey,Clothing,Men,515,334,https://www.amazon.in/dp/B01LB526Q8
60,11776,B01LB509EO,Jockey Men's Cotton T-Shirt,Jockey Men's Cotton T-Shirt,399,https://images-na.ssl-images-amazon.com/images/I/91Et%2B%2BY8gyL._UL1500_.jpg,Jockey,Clothing,Men,357,42,https://www.amazon.in/dp/B01LB509EO
61,12224,B071RTFNN9,Round Neck Cotton T-Shirt,Jockey Men's Round Neck Cotton T-Shirt,498,https://images-na.ssl-images-amazon.com/images/I/81Kc91hkW3L._UL1500_.jpg,Jockey,Clothing,Men,401,97,https://www.amazon.in/dp/B071RTFNN9
62,12809,B01LB4X8RU,Jockey Men's Cotton T-Shirt,Jockey Men's Cotton T-Shirt,380,https://images-na.ssl-images-amazon.com/images/I/81Hwo1YU4iL._UL1500_.jpg,Jockey,Clothing,Men,285,95,https://www.amazon.in/dp/B01LB4X8RU
63,12869,B01LB4YOBO,Men's Cotton Polo T-Shirt,Jockey Men's Cotton Polo T-Shirt,765,https://images-na.ssl-images-amazon.com/images/I/81aEIeYVUML._UL1500_.jpg,Jockey,Clothing,Men,290,475,https://www.amazon.in/dp/B01LB4YOBO
64,12927,B07MM3W4WF,Reversible shirt in norse blue and maroon colour. Throw it on or wear it inside out. Switch between looks this season with the levi's reversible collection.,Levi's Men's Checkered Regular fit Casual Shirt,2999,https://images-na.ssl-images-amazon.com/images/I/81tuawsH-uL._UL1500_.jpg,Levis,Clothing,Men,1592,1407,https://www.amazon.in/dp/B07MM3W4WF
65,12986,B07DR499WL, This button-up staple has a classic look that works with just about any denim in your closet.,Levi's Men's Checkered Slim Fit Casual Shirt,1399,https://images-na.ssl-images-amazon.com/images/I/81IfZRIp-BL._UL1500_.jpg,Levis,Clothing,Men,1173,226,https://www.amazon.in/dp/B07DR499WL
66,13044,B07F5QVKS5,Solid Slim Fit Casual Shirt,Levi's Men's Solid Slim Fit Casual Shirt,1029,https://images-na.ssl-images-amazon.com/images/I/81GwAoQoJCL._UL1500_.jpg,Levis,Clothing,Men,575,454,https://www.amazon.in/dp/B07F5QVKS5
67,13064,B07F5QT9V1,Checkered Slim Fit Casual Shirt,Levi's Men's Checkered Slim Fit Casual Shirt,1083,https://images-na.ssl-images-amazon.com/images/I/81XkU0Hi0QL._UL1500_.jpg,Levis,Clothing,Men,471,612,https://www.amazon.in/dp/B07F5QT9V1
68,13122,B07MS9VWFF,All over printed textured shirt.,Lee Men's Printed Slim fit Casual Shirt,2199,https://images-na.ssl-images-amazon.com/images/I/81eqt30YM3L._UL1500_.jpg,Lee,Clothing,Men,1343,856,https://www.amazon.in/dp/B07MS9VWFF
